"Name","API Name","Memory","vCPUs","Storage","On Demand cost","Reserved cost"
"T2 General Purpose Micro","t2.micro.search","1 GiB","1 vCPUs","EBS Only","$0.0180 hourly","unavailable"
"T2 General Purpose Small","t2.small.search","2 GiB","1 vCPUs","EBS Only","$0.0360 hourly","unavailable"
"T3 General Purpose Small","t3.small.search","2 GiB","2 vCPUs","EBS Only","$0.0360 hourly","unavailable"
"M3 General Purpose Medium","m3.medium.search","3.75 GiB","1 vCPUs","1 x 4 SSD","$0.0940 hourly","unavailable"
"C4 Compute Optimized Large","c4.large.search","3.75 GiB","2 vCPUs","EBS Only","$0.1480 hourly","$0.1020 hourly"
"T3 General Purpose Medium","t3.medium.search","4 GiB","2 vCPUs","EBS Only","$0.0730 hourly","$0.0600 hourly"
"T2 General Purpose Medium","t2.medium.search","4 GiB","2 vCPUs","EBS Only","$0.0730 hourly","unavailable"
"C6G Compute Optimized Large","c6g.large.search","4 GiB","2 vCPUs","EBS Only","$0.1130 hourly","$0.0780 hourly"
"C5 Compute Optimized Large","c5.large.search","4 GiB","2 vCPUs","EBS Only","$0.1250 hourly","$0.0860 hourly"
"M3 General Purpose Large","m3.large.search","7.5 GiB","2 vCPUs","1 x 32 SSD","$0.1880 hourly","unavailable"
"C4 Compute Optimized Extra Large","c4.xlarge.search","7.5 GiB","4 vCPUs","EBS Only","$0.2940 hourly","$0.2030 hourly"
"M6G General Purpose Large","m6g.large.search","8 GiB","2 vCPUs","EBS Only","$0.1280 hourly","$0.0880 hourly"
"M5 General Purpose Large","m5.large.search","8 GiB","2 vCPUs","EBS Only","$0.1420 hourly","$0.0980 hourly"
"M4 General Purpose Large","m4.large.search","8 GiB","2 vCPUs","EBS Only","$0.1510 hourly","$0.1040 hourly"
"C6G Compute Optimized Extra Large","c6g.xlarge.search","8 GiB","4 vCPUs","EBS Only","$0.2260 hourly","$0.1560 hourly"
"C5 Compute Optimized Extra Large","c5.xlarge.search","8 GiB","4 vCPUs","EBS Only","$0.2510 hourly","$0.1730 hourly"
